,games,name,pAssists,pBlocks,pFaceoffWins,pGoals,pHits,pPPpoints,pPenaltyMin,positionX,positionY
94,34.0,Sam Gagner,0.642197374818,-0.703017737173,-0.440215843358,1.77079915632,-0.87968400132,4.36237763471,-0.549504895478,C,C
96,34.0,Jaden Schwartz,0.0556983123828,-0.22042156008,-0.492695608043,1.37497070541,-0.157788009242,1.68118881736,-0.662128671608,LW,LW
97,20.0,Laurent Dauphin,-0.800590318772,-0.495130153195,-0.167321066995,-0.327091633466,0.186315746983,-1.0,-0.234158322312,C,C
98,32.0,Alex Steen,0.994096812279,0.341060530577,-0.479575666872,-0.158864541833,-0.642059903928,-1.0,0.854772813149,LW,LW
100,23.0,Andreas Athanasiou,-0.653200554386,-0.670737056431,-0.301790956797,0.462844275074,-0.644283134338,-1.0,-0.250807054436,C,C
101,25.0,Evander Kane,-0.202361275089,-0.293182214473,-0.381438506911,1.15330677291,0.701749485327,0.215472263868,1.83361420744,LW,LW
102,33.0,Eric Fehr,-0.758291295481,-0.0438071083232,-0.531392808266,-0.18435349511,0.14044982991,-1.0,-0.651890146506,C,C
103,37.0,Colton Sceviour,-0.245476881841,0.125723307066,-0.614202810963,-0.0906643695488,0.282503510251,-0.178734956846,-0.275555169755,C,RW
104,22.0,Andrew Desjardins,-1.0,-0.541027411995,-0.378194303276,-1.0,0.524731837815,-1.0,-0.477835219759,LW,LW
105,29.0,Joe Colborne,-0.862476081912,-0.695337161411,-0.548794666845,-0.303887896689,0.184905145619,1.09564183426,-0.0757083200323,C,RW
106,26.0,Anthony Beauvillier,-0.233039687585,-0.514548224226,-0.519608307882,0.0352436408213,-0.118916686591,-1.0,-0.558168262873,LW,LW
107,20.0,Greg McKegg,-0.601180637544,-0.432021422344,-0.43496786689,-1.0,0.0226859887781,-1.0,-0.425618741734,C,C
110,32.0,Devante Smith-Pelly,-0.50147579693,-0.368912691493,-0.684028083458,-0.579432270916,0.661864731764,-1.0,-0.521348951445,RW,RW
111,37.0,Patrick Marleau,-0.35326589872,-0.385969105237,-0.726726991099,0.818671260902,0.0171579564063,1.46379512946,-0.482539406968,LW,LW
112,17.0,Curtis Lazar,-1.0,-0.55452660576,-0.405229333568,-1.0,0.732550380989,-1.0,-0.549504895478,RW,RW
113,24.0,Micheal Haley,-0.50147579693,-0.474093909578,-0.62826833348,-1.0,1.21581964235,-1.0,2.74943321368,C,LW
114,24.0,Matt Beleskey,-0.50147579693,-0.368912691493,-0.62826833348,-0.439243027888,1.11355104347,-1.0,0.83482901946,LW,LW
115,36.0,Jason Pominville,-0.00295159386068,-0.0884294432682,-0.752178888987,-0.0654050464807,-0.340935696121,-1.0,-0.893633100321,RW,RW
116,30.0,Jonathan Drouin,0.462337662338,-0.66342010213,-0.702614666784,1.46733067729,-0.345480967182,5.07736131934,-0.489438881542,LW,LW
117,36.0,Justin Williams,-0.224517906336,-0.123489849296,-0.752178888987,0.682270916335,-0.70455738102,0.688155922039,0.382769695825,RW,RW
118,38.0,David Perron,0.0495246380414,-0.534988298995,-0.780873964999,0.770811490879,0.0119208731068,0.599305610353,0.511529627015,LW,LW
